n1,country,mean,median,standard_deviation,standard_error,variables
1,USA,1.9642462,2,.80080932,.017924575,Q1
1,USA,5.0675778,5,2.5570619,.057728693,Q10
1,USA,5.5876498,6,2.9362435,.066070646,Q13
1,USA,4.8743315,5,2.78968,.062868275,Q15
1,USA,2.9840739,3,.88355827,.019942291,Q16
1,USA,2.438818,2,.93155199,.020882407,Q17
1,USA,1.5347832,2,.49891365,.011167221,Q18
1,USA,1.8796687,2,.86802757,.019606743,Q23
1,USA,4.3451338,4,2.414257,.054338783,Q25
1,USA,6.2946558,7,2.1680238,.048821442,Q26
1,USA,3.1213479,3,.98260009,.022155145,Q28_1
1,USA,2.5949993,3,.92206872,.02081679,Q28_2
1,USA,3.4588981,4,.78189582,.017688321,Q28_3
1,USA,1.5406641,1,.73400724,.016664777,Q28_4
1,USA,2.1731236,2,.88728082,.019945191,Q32_1
1,USA,3.191185,3,.84312582,.019005524,Q32_2
1,USA,3.0894852,3,.9234255,.020794496,Q32_3
1,USA,7.9045467,8,1.7780659,.039838519,Q8B
